Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,106.66,-73.73,180.0,bottom
C1,75.77,-70.75,0.0,bottom
C10,80.06,-56.49,0.0,bottom
C2,82.890625,-56.665625,180.0,bottom
C3,81.581251,-58.537499,180.0,bottom
C4,72.75,-58.75,90.0,bottom
C5,81.83125,-67.2875,270.0,bottom
C6,81.33125,-68.787499,180.0,bottom
C7,75.817828,-69.524078,180.0,bottom
C8,80.4,-49.72,90.0,bottom
C9,79.0,-52.9,90.0,bottom
D1,66.58,-39.25,0.0,bottom
D10,70.842247,-85.129759,90.0,bottom
D11,89.892263,-85.129759,90.0,bottom
D12,108.942279,-85.129759,90.0,bottom
D2,86.7,-49.65,180.0,bottom
D3,66.079743,-60.721926,90.0,bottom
D4,86.75,-68.7,180.0,bottom
D5,57.75,-44.5,90.0,bottom
D6,108.93,-46.75,90.0,bottom
D7,57.745361,-63.83443,90.0,bottom
D8,109.13,-65.84,90.0,bottom
D9,51.792231,-85.129759,90.0,bottom
F1,77.390625,-50.665625,180.0,bottom
J1,77.390625,-38.415625,180.0,bottom
J6,84.215,-76.22,90.0,top
R1,80.390625,-47.665625,0.0,bottom
R2,80.390625,-45.165625,180.0,bottom
R3,78.58125,-73.0375,0.0,bottom
R4,76.08125,-73.0375,0.0,bottom
RESET,78.05,-76.19,270.0,bottom
S1,67.865625,-46.434375,90.0,top
S10,67.865682,-84.534446,0.0,top
S11,86.915698,-84.534446,0.0,top
S12,105.965698,-84.534446,0.0,top
S2,86.915625,-46.434375,270.0,top
S3,67.865625,-65.484375,90.0,top
S4,86.915625,-65.484375,270.0,top
S5,48.815674,-46.434406,0.0,top
S6,105.965706,-46.434406,0.0,top
S7,48.815674,-65.484422,0.0,top
S8,105.965706,-65.484422,0.0,top
S9,48.815666,-84.534446,0.0,top
U1,77.33125,-63.037499,0.0,bottom
U2,77.390625,-46.415625,0.0,bottom
U3,81.640625,-53.915625,180.0,bottom
